Date,Close,High,Low,Open,Volume
14-03-2024,1421.65271,1472.203486,1417.285013,1468.902964,13522134
15-03-2024,1420.957764,1437.882544,1415.026687,1429.122309,18571102
18-03-2024,1407.805176,1422.69497,1402.519347,1415.473395,19223818
19-03-2024,1428.89917,1431.132639,1406.117832,1409.567277,9169392
20-03-2024,1414.778564,1427.037804,1406.837341,1418.25285,8275764
21-03-2024,1433.1427,1434.383516,1413.562645,1417.458735,8488806
22-03-2024,1440.314575,1447.188745,1434.060934,1441.853236,13006936
26-03-2024,1444.334839,1449.273263,1436.716179,1439.321893,19527608
27-03-2024,1430.983643,1441.729184,1428.42761,1434.383527,11415906
28-03-2024,1481.881836,1488.979328,1436.368725,1437.361378,16326644
01-04-2024,1474.93335,1494.88565,1467.786297,1481.906761,21854364
02-04-2024,1473.866211,1482.998569,1471.607901,1481.50959,5013880
03-04-2024,1476.025146,1483.023398,1464.162993,1473.096869,8910166
04-04-2024,1460.788086,1473.543652,1458.107971,1471.186102,7008292
05-04-2024,1452.176758,1468.878094,1439.346671,1468.878094,14490272
08-04-2024,1449.372437,1459.993895,1445.302584,1450.141767,7442298
09-04-2024,1475.057373,1480.020638,1450.265891,1452.226356,8357118
10-04-2024,1452.896484,1478.854383,1451.754909,1478.060212,7071414
12-04-2024,1468.704468,1476.074965,1455.576656,1455.576656,9138330
15-04-2024,1456.37085,1475.55382,1452.325716,1465.031723,15551012
16-04-2024,1454.062744,1471.235688,1435.698665,1450.265895,12902062
18-04-2024,1454.980957,1460.366147,1440.264927,1442.672037,9366184
19-04-2024,1453.566528,1475.08233,1448.628104,1452.747638,19005692
22-04-2024,1459.323975,1463.170505,1432.423103,1446.072081,15741778
23-04-2024,1468.977417,1471.930535,1457.016022,1461.631761,10350362
24-04-2024,1448.603271,1482.527236,1444.856103,1468.133767,14605554
25-04-2024,1439.520508,1457.760505,1438.850419,1452.74756,10462776
26-04-2024,1449.248413,1457.189636,1430.909175,1431.901828,15943926
29-04-2024,1441.878052,1454.236532,1439.346738,1453.194198,9413848
30-04-2024,1454.261353,1457.11523,1439.346718,1439.346718,7247974
02-05-2024,1456.221924,1472.178772,1452.12723,1457.214577,11474262
03-05-2024,1455.775146,1466.470884,1453.367915,1461.185056,14512646
06-05-2024,1423.464355,1464.113446,1405.745524,1460.192515,17226958
07-05-2024,1409.095703,1429.420248,1407.581883,1424.95331,7394208
08-05-2024,1391.178223,1410.311632,1381.772861,1405.57169,14517472
09-05-2024,1408.127808,1422.421912,1387.232416,1387.232416,9439002
10-05-2024,1383.882202,1413.289544,1379.787509,1402.618525,11009612
13-05-2024,1397.084595,1399.640628,1377.876664,1386.487976,10505096
14-05-2024,1392.394287,1396.637903,1373.831725,1389.614931,8456620
15-05-2024,1409.641602,1416.590172,1389.738982,1390.681954,7188300
16-05-2024,1405.869629,1419.468926,1402.643507,1410.063564,5046534
17-05-2024,1414.877808,1417.012036,1387.753615,1408.127841,14711774
21-05-2024,1425.151855,1426.640835,1402.866844,1412.594892,10916476
22-05-2024,1425.57373,1431.231804,1415.126034,1415.126034,11176128
23-05-2024,1449.918457,1457.983762,1425.722543,1425.722543,10281604
24-05-2024,1475.131958,1481.261517,1444.310036,1447.834002,14608260
27-05-2024,1469.374512,1477.563898,1465.254978,1472.724715,7094776
28-05-2024,1455.477417,1473.990419,1450.811997,1469.349718,6629010
29-05-2024,1445.501221,1467.637431,1442.076616,1457.214574,7820162
30-05-2024,1430.189575,1447.287998,1427.881584,1435.872489,7383556
31-05-2024,1414.38147,1429.817271,1409.666368,1424.953247,13206858
03-06-2024,1419.890747,1431.65366,1411.800602,1420.784159,31069832
04-06-2024,1499.228516,1503.37289,1448.280652,1472.104322,21527942
05-06-2024,1387.009155,1487.043779,1349.313184,1487.043779,36709098
06-06-2024,1410.311646,1420.63526,1373.930892,1411.552462,17464890
07-06-2024,1421.081909,1433.092985,1410.907217,1424.456953,17855722
10-06-2024,1459.150024,1461.185011,1416.019306,1418.004612,18558696
11-06-2024,1460.589478,1482.37816,1457.288834,1459.150058,9251760
12-06-2024,1445.972778,1462.847878,1443.987472,1458.207177,11774902
13-06-2024,1452.57373,1465.155654,1444.483706,1446.791576,10081742
14-06-2024,1454.484741,1461.433312,1449.372554,1461.185149,9181160
18-06-2024,1466.694458,1468.803846,1446.518713,1459.19988,8157998
19-06-2024,1470.143921,1476.472084,1460.539955,1476.422403,7196766
20-06-2024,1447.933228,1476.57124,1445.302673,1476.57124,8725874
21-06-2024,1462.872559,1471.955357,1439.445974,1448.280609,16113776
24-06-2024,1443.515869,1463.865255,1429.990973,1462.798201,31170360
25-06-2024,1430.884277,1438.850341,1426.938506,1434.90457,8878386
26-06-2024,1443.466309,1445.228292,1430.412898,1432.398204,7045386
